Countries,"International tourism, expenditures for passenger transport items (current US$)","International tourism, expenditures (% of total imports)","International tourism, expenditures (current US$)","International tourism, expenditures for travel items (current US$)","International tourism, number of arrivals","International tourism, number of departures","International tourism, receipts (% of total exports)","International tourism, receipts (current US$)","International tourism, receipts for passenger transport items (current US$)","International tourism, receipts for travel items (current US$)",GDP (current US$),Exports of goods and services (% of GDP)
Afghanistan,23000000,2.8,226000000,203000000,..,..,3.1,50000000,22000000,28000000,18053228579,..
Albania,71000000,25.5,1750000000,1679000000,5927000,5415000,48.2,2306000000,120000000,2186000000,15156432310,31.6
Algeria,44000000,0.9,542000000,498000000,2657000,5610000,0.4,196500000,28000000,168500000,1.74911E+11,25.9
American Samoa,..,..,..,..,20200,..,..,..,..,..,639000000,68.2
Andorra,..,..,..,..,8328000,..,..,..,..,..,3218316013,..
Angola,207000000,2.9,762000000,555000000,218000,..,1.3,557000000,13000000,544000000,1.01353E+11,40.8
Antigua and Barbuda,25000000,9.8,111000000,86000000,1064000,..,82.3,854000000,79000000,775000000,1605944444,64.5
Argentina,2414000000,15.1,13084000000,10670000000,6942000,18411000,7.8,5999000000,436000000,5563000000,5.2482E+11,14.4
Armenia,53000000,20.1,1335000000,1282000000,1652000,1623000,27.5,1358000000,29000000,1329000000,12457941907,39.4
Aruba,13000000,17.4,394000000,381000000,1897000,..,79.6,2035000000,2000000,2033000000,3202188607,73.8
Australia,5486000000,13.7,42439000000,36953000000,9246000,11403000,14.5,47327000000,2229000000,45098000000,1.42853E+12,21.9
Austria,2316000000,5.9,14109000000,11793000000,30816000,11043000,10.1,25413000000,2180000000,23233000000,4.54946E+11,55.4
Azerbaijan,169000000,13.9,2453000000,2284000000,2850000,4908000,11.1,2830000000,196000000,2634000000,47112941177,54.1
"Bahamas, The",187000000,10.1,519000000,332000000,6622000,..,79,3756000000,28000000,3728000000,12837800000,36
Bahrain,863000000,9.3,2522000000,1659000000,12045000,2868000,12.7,3834000000,145000000,3689000000,37801462766,79.3
Bangladesh,452000000,1.8,1207000000,755000000,267000,..,0.8,357000000,4000000,353000000,2.74039E+11,14.8
Barbados,..,..,..,..,1356000,..,..,..,..,1125000000,5086500000,41.3
Belarus,101000000,2.8,1170000000,1069000000,11502000,9326000,2.9,1221000000,338000000,883000000,60031262269,70.5
Belgium,2347000000,4.6,20789000000,18442000000,9119000,13098000,2.3,10319000000,1439000000,8880000000,5.43008E+11,83
Belize,2000000,4.3,50000000,48000000,1697000,..,..,..,..,479000000,1915899787,56.4
Benin,45000000,1.6,76000000,31000000,322000,..,4.5,175000000,13000000,162000000,14262407012,27.3
Bermuda,80000000,15.2,334000000,254000000,766000,..,36.8,583000000,..,583000000,7224329000,51.3
Bhutan,1000000,6.3,79000000,78000000,274000,..,15.4,121000000,18000000,103000000,2446866405,30.8
Bolivia,143000000,8.1,1009000000,866000000,1142000,1060000,9.1,948000000,133000000,815000000,40287647931,26
Bosnia and Herzegovina,105000000,3.3,378000000,273000000,1053000,..,13.3,1147000000,51000000,1096000000,20177409351,42.5
Botswana,300000,3.8,278299987.8,278000000,1830000,..,7.8,584200012.2,2200000,582000000,16914245098,44.5
Brazil,3963000000,8.3,22229000000,18266000000,6621000,10628000,2.3,6324000000,403000000,5921000000,1.91693E+12,14.6
British Virgin Islands,..,..,..,..,192000,..,..,..,..,..,..,..
Brunei Darussalam,..,10.3,585000000,585000000,4521000,..,2.7,190000000,..,190000000,13567351175,51.9
Bulgaria,379000000,5.4,2247000000,1868000000,12368000,6699000,11.6,5061000000,593000000,4468000000,66363422450,65.7
Burkina Faso,72000000,3.7,191000000,119000000,144000,..,4,179000000,58000000,121000000,15890065020,28.1
Burundi,..,..,..,23000000,..,..,..,..,..,3900000.1,2668495743,9.4
Cabo Verde,27000000,8.4,112000000,85000000,710000,..,54,520000000,32000000,488000000,1966503223,49
Cambodia,217000000,4.9,1080000000,863000000,6201000,1995000,26.2,4832000000,470000000,4362000000,24571753584,61.6
Cameroon,227000000,10.9,915000000,688000000,997000,..,8.7,633000000,52000000,581000000,39973839065,18.7
Canada,..,..,..,34585000000,31274000,38069000,..,..,..,26893000000,1.72533E+12,32.3
Cayman Islands,70000000,11.3,284000000,214000000,2384000,..,23,911000000,40000000,871000000,5522625585,71.7
Central African Republic,..,..,..,..,109000,..,..,..,..,..,2220978978,18.9
Chad,..,..,..,..,63000,..,..,..,..,..,11239167049,36.2
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..
Chile,761000000,3.7,3124000000,2363000000,6603000,4605000,4.6,3911000000,1040000000,2871000000,2.97572E+11,28.5
China,..,..,..,2.77265E+11,158606000,149720000,..,..,..,40386000000,1.38948E+13,19.1
Colombia,747000000,8.6,5531000000,4784000000,4397000,4368000,12.4,6655000000,1034000000,5621000000,3.34198E+11,15.9
Comoros,20000000,13.5,48000000,28000000,35900,..,49.3,73699996.9,700000,73000000,1188797575,12.9
"Congo, Dem. Rep.",..,0.6,115000000,115000000,..,..,0.4,60500000,..,60500000,47146004587,34.1
"Congo, Rep.",..,..,..,..,158000,..,..,..,..,..,13670036996,71
Costa Rica,360000000,5.8,1198000000,838000000,3313000,1079000,19,4073000000,304000000,3769000000,62420165100,33.7
Cote d'Ivoire,209000000,4.7,625000000,416000000,1965000,..,4.2,551000000,108000000,443000000,58011466451,22.6
Croatia,48000000,5.6,1741000000,1693000000,57668000,2980000,36.9,11348000000,221000000,11127000000,62247874949,49.5
Cuba,..,..,..,..,4712000,552000,..,2783000000,80000000,2703000000,1.0005E+11,14.5
Curacao,68000000,16.5,452000000,384000000,1210000,..,31.2,604000000,11000000,593000000,3127908045,..
Cyprus,..,8.4,1569000000,1569000000,4024000,1446000,18,3449000000,..,3449000000,25522671233,75.1
Czech Republic,102000000,3.4,6074000000,5972000000,36268000,7390000,4.3,8283000000,837000000,7446000000,2.4895E+11,77
Denmark,..,5.8,10485000000,10538000000,30801000,7475000,4.5,9097000000,..,9107000000,3.56841E+11,56.6
Djibouti,..,..,..,22299999.2,..,..,1.2,57000000,..,57000000,3012803457,149.2
Dominica,8000000,6.7,28000000,20000000,199000,..,70.9,111000000,..,88000000,550622222.2,29.4
Dominican Republic,457000000,4.2,1006000000,549000000,7551000,514000,37.7,7561000000,..,7548000000,85555378043,23.6
Ecuador,389000000,5.8,1523000000,1134000000,2535000,1402000,9,2279000000,7000000,2272000000,1.07562E+11,22.6
"Egypt, Arab Rep.",230000000,3.8,2897000000,2667000000,11346000,..,24.6,12704000000,1089000000,11615000000,2.49713E+11,18.9
El Salvador,47000000,4,490000000,443000000,2536000,1788000,18.1,1370000000,356000000,1014000000,26020850000,28.9
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,13097012189,59.6
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,184000000,7.5,1647000000,1463000000,6033000,2069000,10.3,2326000000,547000000,1779000000,30474612057,74.5
Eswatini,2000000,2.1,43000000,41000000,1277000,1717000,0.9,16399999.6,400000,16000000,4665420239,40.4
Ethiopia,700000,3.1,612700012.2,612000000,849000,..,46.5,3548000000,2580000000,968000000,84269348327,8.4
Faroe Islands,..,..,..,..,..,..,..,..,..,..,3051341336,53.4
Fiji,11000000,5.2,160000000,149000000,1058000,174000,51.5,1370000000,401000000,969000000,5581371848,47.9
Finland,1151000000,6.6,7223000000,6072000000,3224000,10480000,5.4,5762000000,2097000000,3665000000,2.7558E+11,38.5
France,9667000000,6.2,59131000000,49464000000,211998000,48069000,7.9,72518000000,7156000000,65362000000,2.78959E+12,31.7
French Polynesia,..,..,..,177000000,264000,47000,..,..,..,642000000,..,..
Gabon,..,..,..,..,..,..,..,..,..,..,16867325127,54.3
"Gambia, The",1400000,1.5,10399999.6,9000000,552000,..,48,174000000,14000000,160000000,1670670669,21.7
Georgia,435000000,8.9,960000000,525000000,7203000,3698000,39.5,3518000000,296000000,3222000000,17599700091,50.6
Germany,8303000000,6.3,1.03502E+11,95199000000,38881000,108542000,3.2,59446000000,16551000000,42895000000,3.97535E+12,47.3
Ghana,879000000,5.7,1329000000,450000000,..,..,4.4,996000000,52000000,944000000,67299280680,33.5
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,..
Greece,1328000000,4.6,3910000000,2582000000,33072000,7961000,26.4,21594000000,2773000000,18821000000,2.11946E+11,39
Greenland,..,..,..,..,..,..,..,..,..,..,3040414278,44.5
Grenada,18000000,6.1,42000000,24000000,529000,..,88.2,548000000,..,522000000,1166523556,..
Guam,..,..,..,..,1549000,..,..,..,..,..,6060000000,19.2
Guatemala,298000000,5.2,1105000000,807000000,2406000,1538000,9.3,1235099976,4099999.9,1231000000,73208583759,18.2
Guinea,402500000,9.8,411700012.2,9199999.8,..,..,0.1,4699999.8,1300000,3400000.1,11857030337,40.2
Guinea-Bissau,100000,16.2,74599998.5,74500000,55000,..,5.3,20000000,200000,19799999.2,1504630121,25.3
Guyana,..,..,..,80000000,287000,..,..,..,..,28000000,4787636237,..
Haiti,496000000,10.6,599000000,103000000,1333000,..,34.9,620000000,..,620000000,16455034353,10.8
Honduras,150000000,4.6,558000000,408000000,2323000,703000,8.4,601000000,9000000,592000000,23900438564,41.5
"Hong Kong SAR, China",..,3.9,26498000000,26436000000,65148000,92214000,6.2,42313000000,7045000000,35268000000,3.61692E+11,188.4
Hungary,600000000,2.5,3239000000,2639000000,57667000,22805000,7.1,9618000000,2731000000,6887000000,1.60587E+11,83.7
Iceland,..,..,..,1691000000,2488000,668000,..,..,..,3134000000,26267063758,46.6
India,4471000000,4,25790000000,21319000000,17423000,26296000,5.4,29143000000,575000000,28568000000,2.70111E+12,19.9
Indonesia,2857000000,6,13171000000,10314000000,15810000,9468000,8.5,17915000000,1489000000,16426000000,1.04227E+12,21
"Iran, Islamic Rep.",576000000,..,9271000000,8695000000,7295000,7243000,..,5252000000,228000000,5024000000,2.94357E+11,33.2
Iraq,..,13.8,7855000000,7855000000,..,..,2.2,1986000000,..,1986000000,2.27367E+11,40.8
Ireland,..,2.1,7541000000,7541000000,10926000,8643000,3.2,15276000000,8494000000,6782000000,3.84854E+11,123
Isle of Man,..,..,..,..,..,..,..,..,..,..,7491969313,..
Israel,2097000000,9.2,9975000000,7878000000,4389000,8473000,7.2,8048000000,823000000,7225000000,3.73641E+11,30
Italy,7640000000,6.2,37644000000,30004000000,93228601.6,61194601.6,7.9,51602000000,2536000000,49066000000,2.09091E+12,31.4
Jamaica,219000000,6.4,505000000,286000000,4319000,..,..,..,..,3099000000,15730793853,38.6
Japan,7899000000,3,28097000000,20198000000,31191000,18954000,4.9,45276000000,3183000000,42093000000,5.03689E+12,18.3
Jordan,106000000,6.5,1493000000,1387000000,4922000,1501000,41.2,6221000000,972000000,5249000000,42932112676,35.2
Kazakhstan,165000000,6.2,2852000000,2687000000,8789000,10646000,3.9,2651000000,396000000,2255000000,1.7934E+11,37.6
Kenya,..,..,..,229000000,2025000,..,15.4,1784000000,712000000,1072000000,92202956321,12.5
Kiribati,..,..,..,13199999.8,9000,..,..,..,..,3400000.1,200157020.6,9.5
"Korea, Dem. People's Rep.",..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",2889000000,5.9,38022000000,35133000000,15347000,28696000,3.2,23104000000,4537000000,18567000000,1.72485E+12,41.7
Kosovo,..,..,..,..,..,..,..,..,..,..,7878508503,29.1
Kuwait,..,21,14318000000,14318000000,8508000,..,1.1,919000000,461000000,458000000,1.38182E+11,57.5
Kyrgyz Republic,137000000,7.7,451000000,314000000,6947000,6839000,18.9,518000000,59000000,459000000,8271108638,31.6
Lao PDR,13000000,13.3,1005000000,992000000,4186000,3207000,13,833000000,22000000,811000000,18141651381,..
Latvia,..,..,..,778000000,7775000,2175000,..,..,..,1057000000,34412210812,61.5
Lebanon,141000000,19.5,6395000000,6254000000,1964000,..,45.4,8694000000,294000000,8400000000,55276157552,20.6
Lesotho,5000000,14.3,347000000,342000000,1173000,..,..,..,..,24000000,2514146888,49.6
Liberia,..,..,..,7699999.8,..,..,..,..,..,..,3422754800,..
Libya,..,10.8,2042000000,2042000000,..,..,..,..,52000000,..,52607888718,56.9
Liechtenstein,..,..,..,..,85300,..,..,..,..,..,6839145107,..
Lithuania,..,..,..,1400000000,6115000,4702000,..,..,..,1504000000,53724663843,75.2
Luxembourg,59000000,2.5,2872000000,2813000000,1018000,2510000,4,5642000000,466000000,5176000000,71250208996,196.4
"Macao SAR, China",104000000,10.6,1941000000,1837000000,35804000,1780000,90.9,41478000000,602000000,40876000000,55284360483,82.5
Madagascar,126000000,6.4,309000000,183000000,360000,..,19.9,879000000,182000000,697000000,13760033097,31.5
Malawi,49000000,5.8,174000000,125000000,871000,..,4.8,55000000,6000000,49000000,9880675786,..
Malaysia,1080000000,6,13207000000,12127000000,25832000,..,8.9,21775000000,2167000000,19608000000,3.58792E+11,68.6
Maldives,76000000,10.1,414000000,338000000,1484000,..,85.2,3054000000,26000000,3028000000,5300962660,70.1
Mali,76000000,4.2,255000000,179000000,203000,..,5.5,231000000,4000000,227000000,17070866299,24.5
Malta,..,..,..,518000000,3232000,728000,..,..,..,1849000000,14864712990,142.5
Marshall Islands,11500000,18,31399999.6,19899999.6,6800,..,15.6,20100000.4,11500000,8600000.4,221588900,38.9
Mauritania,25000000,1.2,38000000,13000000,..,..,0.3,6000000,2000000,4000000,7354430040,34.3
Mauritius,75000000,8.8,663000000,588000000,1431000,296000,38.7,2161000000,270000000,1891000000,14181951059,41
Mexico,2844000000,2.8,14074000000,11230000000,96497000,86280000,5,23802000000,1276000000,22526000000,1.22241E+12,39.3
"Micronesia, Fed. Sts.",..,..,..,..,19200,..,..,..,..,..,401932300,35.5
Moldova,86000000,6.9,438000000,352000000,160000,264000,14.5,500000000,119000000,381000000,11456728401,30.1
Monaco,..,..,..,..,347000,..,..,..,..,..,7194024563,..
Mongolia,103000000,9.7,822000000,719000000,598000,..,6.8,526000000,65000000,461000000,13178094460,58.2
Montenegro,5000000,2,73000000,68000000,2077000,..,52.2,1224000000,53000000,1171000000,5504166667,42.9
Morocco,1011000000,5.4,2987000000,1976000000,12489000,1923000,22,9520000000,1746000000,7774000000,1.18096E+11,38.8
Mozambique,3000000,1.3,135000000,132000000,2870000,..,5.5,331000000,89000000,242000000,14845870051,44.9
Myanmar,29000000,0.6,118000000,89000000,3551000,..,10.6,1670000000,18000000,1652000000,67144726168,28.4
Namibia,13000000,1.1,69000000,56000000,1639000,..,9.8,488000000,108000000,380000000,13682062249,35.9
Nauru,..,7.5,7100000,7099999.9,..,..,5.1,1600000,..,1600000,124021393.7,26.3
